OG0000000	sp|C0HL66|H33A_DROME Histone H3.3A OS=Drosophila melanogaster OX=7227 GN=His3.3A PE=1 SV=1
OG0003029	sp|Q5EA75|PCY2_BOVIN Ethanolamine-phosphate cytidylyltransferase OS=Bos taurus OX=9913 GN=PCYT2 PE=2 SV=1
OG0003030	sp|Q502W6|VWA3B_HUMAN von Willebrand factor A domain-containing protein 3B OS=Homo sapiens OX=9606 GN=VWA3B PE=1 SV=3
OG0003031	sp|P61221|ABCE1_HUMAN ATP-binding cassette sub-family E member 1 OS=Homo sapiens OX=9606 GN=ABCE1 PE=1 SV=1
OG0003032	sp|Q6AX23|QSOX2_XENLA Sulfhydryl oxidase 2 OS=Xenopus laevis OX=8355 GN=qsox2 PE=2 SV=1
OG0003033	sp|P20700|LMNB1_HUMAN Lamin-B1 OS=Homo sapiens OX=9606 GN=LMNB1 PE=1 SV=2
OG0003034	sp|O66164|FTHS_SPHSK Formate--tetrahydrofolate ligase OS=Spinacia oleracea OX=3562 PE=1 SV=2
OG0003035	sp|Q01177|PLMN_RAT Plasminogen OS=Rattus norvegicus OX=10116 GN=Plg PE=2 SV=2
OG0003036	sp|P42166|LAP2A_HUMAN Lamina-associated polypeptide 2 isoform alpha OS=Homo sapiens OX=9606 GN=TMPO PE=1 SV=2
OG0003037	sp|P52162|MAX_CHICK Protein max OS=Gallus gallus OX=9031 GN=MAX PE=3 SV=1
OG0003039	sp|P48597|IF4E_XENLA Eukaryotic translation initiation factor 4E OS=Xenopus laevis OX=8355 GN=eif4e PE=1 SV=1
OG0003040	sp|Q6GL89|IF2A_XENTR Eukaryotic translation initiation factor 2 subunit 1 OS=Xenopus tropicalis OX=8364 GN=eif2s1 PE=2 SV=1
OG0003041	sp|Q502W6|VWA3B_HUMAN von Willebrand factor A domain-containing protein 3B OS=Homo sapiens OX=9606 GN=VWA3B PE=1 SV=3
OG0003043	sp|Q5RFH9|AT5F1_PONAB ATP synthase F(0) complex subunit B1 mitochondrial OS=Pongo abelii OX=9601 GN=ATP5PB PE=2 SV=1
OG0003044	sp|Q92738|US6NL_HUMAN USP6 N-terminal-like protein OS=Homo sapiens OX=9606 GN=USP6NL PE=1 SV=3
OG0003047	sp|B1AJZ9|FHAD1_HUMAN Forkhead-associated domain-containing protein 1 OS=Homo sapiens OX=9606 GN=FHAD1 PE=2 SV=2
OG0003048	sp|Q5REP9|KLHL3_PONAB Kelch-like protein 3 OS=Pongo abelii OX=9601 GN=KLHL3 PE=2 SV=1
OG0003050	sp|Q66S50|MBL2_MACFA Mannose-binding protein C OS=Macaca fascicularis OX=9541 GN=MBL2 PE=3 SV=1
OG0003051	sp|A6QLA0|NFX1_BOVIN Transcriptional repressor NF-X1 OS=Bos taurus OX=9913 GN=NFX1 PE=2 SV=1
OG0003052	sp|Q5PPG7|EIF2D_RAT Eukaryotic translation initiation factor 2D OS=Rattus norvegicus OX=10116 GN=Eif2d PE=1 SV=1
OG0003054	sp|P40818|UBP8_HUMAN Ubiquitin carboxyl-terminal hydrolase 8 OS=Homo sapiens OX=9606 GN=USP8 PE=1 SV=1
OG0003055	sp|Q6NY89|LSG1_DANRE Large subunit GTPase 1 homolog OS=Danio rerio OX=7955 GN=lsg1 PE=2 SV=1
OG0003056	sp|A2AVA0|SVEP1_MOUSE Sushi von Willebrand factor type A EGF and pentraxin domain-containing protein 1 OS=Mus musculus OX=10090 GN=Svep1 PE=1 SV=1
OG0003057	sp|P97608|OPLA_RAT 5-oxoprolinase OS=Rattus norvegicus OX=10116 GN=Oplah PE=1 SV=2
OG0003058	sp|B2RR83|YTDC2_MOUSE 3'-5' RNA helicase YTHDC2 OS=Mus musculus OX=10090 GN=Ythdc2 PE=1 SV=1
OG0003059	sp|Q9Z1N2|ORC1_MOUSE Origin recognition complex subunit 1 OS=Mus musculus OX=10090 GN=Orc1 PE=1 SV=2
OG0003060	sp|Q5VTE6|ANGE2_HUMAN Protein angel homolog 2 OS=Homo sapiens OX=9606 GN=ANGEL2 PE=2 SV=1
OG0003061	sp|Q9Z0P5|TWF2_MOUSE Twinfilin-2 OS=Mus musculus OX=10090 GN=Twf2 PE=1 SV=1
OG0003062	sp|Q9NII1|ADAR_DROME Double-stranded RNA-specific editase Adar OS=Drosophila melanogaster OX=7227 GN=Adar PE=1 SV=2
OG0003063	sp|Q15269|PWP2_HUMAN Periodic tryptophan protein 2 homolog OS=Homo sapiens OX=9606 GN=PWP2 PE=2 SV=2
OG0003065	sp|Q96BD0|SO4A1_HUMAN Solute carrier organic anion transporter family member 4A1 OS=Homo sapiens OX=9606 GN=SLCO4A1 PE=1 SV=2
OG0003066	sp|Q5RE33|REEP5_PONAB Receptor expression-enhancing protein 5 OS=Pongo abelii OX=9601 GN=REEP5 PE=2 SV=1
OG0003067	sp|A1Z7K9|PAN2_DROME PAN2-PAN3 deadenylation complex catalytic subunit PAN2 OS=Drosophila melanogaster OX=7227 GN=PAN2 PE=1 SV=1
OG0003068	sp|P53441|CATR_NAEGR Caltractin OS=Naegleria gruberi OX=5762 GN=CTN PE=2 SV=1
OG0003069	sp|Q9H1A4|APC1_HUMAN Anaphase-promoting complex subunit 1 OS=Homo sapiens OX=9606 GN=ANAPC1 PE=1 SV=1
OG0003071	sp|Q9Z148|EHMT2_MOUSE Histone-lysine N-methyltransferase EHMT2 OS=Mus musculus OX=10090 GN=Ehmt2 PE=1 SV=2
OG0003072	sp|Q9V3U9|SLMO_DROME Protein slowmo OS=Drosophila melanogaster OX=7227 GN=slmo PE=2 SV=1
OG0003073	sp|O46629|ECHB_BOVIN Trifunctional enzyme subunit beta mitochondrial OS=Bos taurus OX=9913 GN=HADHB PE=2 SV=1
OG0003074	sp|Q9D0M3|CY1_MOUSE Cytochrome c1 heme protein mitochondrial OS=Mus musculus OX=10090 GN=Cyc1 PE=1 SV=1
OG0003075	sp|P23468|PTPRD_HUMAN Receptor-type tyrosine-protein phosphatase delta OS=Homo sapiens OX=9606 GN=PTPRD PE=1 SV=2
OG0003076	sp|Q5XIH7|PHB2_RAT Prohibitin-2 OS=Rattus norvegicus OX=10116 GN=Phb2 PE=1 SV=1
OG0003077	sp|P58912|TX60B_PHYSE DELTA-alicitoxin-Pse2b OS=Phyllodiscus semoni OX=163701 PE=1 SV=2
OG0003078	sp|Q8K009|AL1L2_MOUSE Mitochondrial 10-formyltetrahydrofolate dehydrogenase OS=Mus musculus OX=10090 GN=Aldh1l2 PE=1 SV=2
OG0003079	sp|Q8T773|MDH1B_BRAFL Putative malate dehydrogenase 1B OS=Branchiostoma floridae OX=7739 GN=MDH1B PE=3 SV=1
OG0003080	sp|P56499|UCP3_RAT Mitochondrial uncoupling protein 3 OS=Rattus norvegicus OX=10116 GN=Ucp3 PE=2 SV=1
OG0003082	sp|C0HKD8|MFA1A_MOUSE Microfibrillar-associated protein 1A OS=Mus musculus OX=10090 GN=Mfap1a PE=1 SV=1
OG0003083	sp|P48553|TPC10_HUMAN Trafficking protein particle complex subunit 10 OS=Homo sapiens OX=9606 GN=TRAPPC10 PE=1 SV=2
OG0003084	sp|P30904|MIF_RAT Macrophage migration inhibitory factor OS=Rattus norvegicus OX=10116 GN=Mif PE=1 SV=4
OG0003085	sp|Q96JB5|CK5P3_HUMAN CDK5 regulatory subunit-associated protein 3 OS=Homo sapiens OX=9606 GN=CDK5RAP3 PE=1 SV=2
OG0003086	sp|O77633|ADA10_PIG Disintegrin and metalloproteinase domain-containing protein 10 OS=Sus scrofa OX=9823 GN=ADAM10 PE=2 SV=2
OG0003088	sp|A5D7H2|STRN3_BOVIN Striatin-3 OS=Bos taurus OX=9913 GN=STRN3 PE=2 SV=1
OG0003089	sp|Q24562|U2AF2_DROME Splicing factor U2AF 50 kDa subunit OS=Drosophila melanogaster OX=7227 GN=U2af50 PE=1 SV=1
OG0003090	sp|Q5TB80|CE162_HUMAN Centrosomal protein of 162 kDa OS=Homo sapiens OX=9606 GN=CEP162 PE=1 SV=2
OG0003091	sp|Q6ZPJ0|TEX2_MOUSE Testis-expressed protein 2 OS=Mus musculus OX=10090 GN=Tex2 PE=1 SV=2
OG0003092	sp|Q09470|KCNA1_HUMAN Potassium voltage-gated channel subfamily A member 1 OS=Homo sapiens OX=9606 GN=KCNA1 PE=1 SV=2
OG0003094	sp|Q8IZ21|PHAR4_HUMAN Phosphatase and actin regulator 4 OS=Homo sapiens OX=9606 GN=PHACTR4 PE=1 SV=1
OG0003095	sp|Q5BKN4|SEP2A_XENTR Septin-2A OS=Xenopus tropicalis OX=8364 GN=sept2-A PE=2 SV=1
OG0003097	sp|O59675|RS9B_SCHPO 40S ribosomal protein S9-B OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=rps902 PE=1 SV=3
OG0003098	sp|A2RSY1|KANL3_MOUSE KAT8 regulatory NSL complex subunit 3 OS=Mus musculus OX=10090 GN=Kansl3 PE=1 SV=1
OG0003099	sp|Q2VLG6|C163A_CANLF Scavenger receptor cysteine-rich type 1 protein M130 OS=Canis lupus familiaris OX=9615 GN=CD163 PE=2 SV=1
OG0003100	sp|Q28BT8|DUS3L_XENTR tRNA-dihydrouridine(47) synthase
OG0003102	sp|Q6AXL4|NCLDB_DANRE Neurocalcin-delta B OS=Danio rerio OX=7955 GN=ncaldb PE=2 SV=1
OG0003103	sp|Q28811|PHR_POTTR Deoxyribodipyrimidine photo-lyase OS=Potorous tridactylus OX=9310 GN=PHR PE=2 SV=1
OG0003104	sp|Q6INH1|RN157_XENLA E3 ubiquitin ligase Rnf157 OS=Xenopus laevis OX=8355 GN=rnf157 PE=2 SV=1
OG0003105	sp|O94972|TRI37_HUMAN E3 ubiquitin-protein ligase TRIM37 OS=Homo sapiens OX=9606 GN=TRIM37 PE=1 SV=2
OG0003106	sp|P30625|KAPR_CAEEL cAMP-dependent protein kinase regulatory subunit OS=Caenorhabditis elegans OX=6239 GN=kin-2 PE=1 SV=3
OG0003107	sp|Q6GPQ3|MFSD8_XENLA Major facilitator superfamily domain-containing protein 8 OS=Xenopus laevis OX=8355 GN=mfsd8 PE=2 SV=1
OG0003108	sp|Q6P1V8|MCM6Z_XENTR Zygotic DNA replication licensing factor mcm6 OS=Xenopus tropicalis OX=8364 GN=zmcm6 PE=2 SV=1
OG0003109	sp|P23508|CRCM_HUMAN Colorectal mutant cancer protein OS=Homo sapiens OX=9606 GN=MCC PE=1 SV=2
OG0003111	sp|Q9BZV1|UBXN6_HUMAN UBX domain-containing protein 6 OS=Homo sapiens OX=9606 GN=UBXN6 PE=1 SV=1
OG0003112	sp|Q8C5T8|CC113_MOUSE Coiled-coil domain-containing protein 113 OS=Mus musculus OX=10090 GN=Ccdc113 PE=2 SV=1
OG0003113	sp|Q9BGW4|ZC21C_MACFA Zinc finger C2HC domain-containing protein 1C OS=Macaca fascicularis OX=9541 GN=ZC2HC1C PE=2 SV=1
OG0003114	sp|Q9EQU5|SET_MOUSE Protein SET OS=Mus musculus OX=10090 GN=Set PE=1 SV=1
OG0003115	sp|Q5RCQ5|MFS11_PONAB UNC93-like protein MFSD11 OS=Pongo abelii OX=9601 GN=MFSD11 PE=2 SV=1
OG0003116	sp|O95571|ETHE1_HUMAN Persulfide dioxygenase ETHE1 mitochondrial OS=Homo sapiens OX=9606 GN=ETHE1 PE=1 SV=2
OG0003118	sp|P54319|PLAP_RAT Phospholipase A-2-activating protein OS=Rattus norvegicus OX=10116 GN=Plaa PE=1 SV=3
OG0003119	sp|A1L1L2|TM214_RAT Transmembrane protein 214 OS=Rattus norvegicus OX=10116 GN=Tmem214 PE=2 SV=1
OG0003121	sp|O55028|BCKD_MOUSE
OG0003122	sp|Q7ZUC7|PGES2_DANRE Prostaglandin E synthase 2 OS=Danio rerio OX=7955 GN=ptges2 PE=2 SV=1
OG0003123	sp|Q3T0L2|ERP44_BOVIN Endoplasmic reticulum resident protein 44 OS=Bos taurus OX=9913 GN=ERP44 PE=2 SV=1
OG0003124	sp|Q91VS8|FARP2_MOUSE FERM ARHGEF and pleckstrin domain-containing protein 2 OS=Mus musculus OX=10090 GN=Farp2 PE=1 SV=2
OG0003125	sp|Q63796|M3K12_RAT Mitogen-activated protein kinase 12 OS=Rattus norvegicus OX=10116 GN=Map3k12 PE=1 SV=1
OG0003126	sp|Q9H3E2|SNX25_HUMAN Sorting nexin-25 OS=Homo sapiens OX=9606 GN=SNX25 PE=1 SV=2
OG0003127	sp|A9ZSZ2|AGO3_BOMMO Piwi-like protein Ago3 OS=Bombyx mori OX=7091 GN=AGO3 PE=1 SV=2
OG0003128	sp|P47033|PRY3_YEAST Cell wall protein PRY3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PRY3 PE=1 SV=1
OG0003129	sp|Q9Z336|DYLT1_RAT Dynein light chain Tctex-type 1 OS=Rattus norvegicus OX=10116 GN=Dynlt1 PE=1 SV=1
OG0003130	sp|Q5T8P6|RBM26_HUMAN RNA-binding protein 26 OS=Homo sapiens OX=9606 GN=RBM26 PE=1 SV=3
OG0003131	sp|Q5XX13|FBW10_HUMAN F-box/WD repeat-containing protein 10 OS=Homo sapiens OX=9606 GN=FBXW10 PE=2 SV=2
OG0003132	sp|Q640I9|KDM2B_XENLA Lysine-specific demethylase 2B OS=Xenopus laevis OX=8355 GN=kdm2b PE=2 SV=1
OG0003133	sp|Q9VHH9|JHD1_DROME JmjC domain-containing histone demethylation protein 1 OS=Drosophila melanogaster OX=7227 GN=Kdm2 PE=1 SV=2
OG0003134	sp|Q9BZZ5|API5_HUMAN Apoptosis inhibitor 5 OS=Homo sapiens OX=9606 GN=API5 PE=1 SV=3
OG0003135	sp|Q3ZBT6|TRA2B_BOVIN Transformer-2 protein homolog beta OS=Bos taurus OX=9913 GN=TRA2B PE=2 SV=1
OG0003137	sp|Q17QK8|SPRE_BOVIN Sepiapterin reductase OS=Bos taurus OX=9913 GN=SPR PE=2 SV=1
OG0003138	sp|O60081|YQK7_SCHPO Uncharacterized protein C1494.07 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPCC1494.07 PE=3 SV=1
OG0003139	sp|Q8NEZ3|WDR19_HUMAN WD repeat-containing protein 19 OS=Homo sapiens OX=9606 GN=WDR19 PE=1 SV=2
OG0003140	sp|Q969Q5|RAB24_HUMAN Ras-related protein Rab-24 OS=Homo sapiens OX=9606 GN=RAB24 PE=1 SV=1
OG0003141	sp|Q9P2E3|ZNFX1_HUMAN NFX1-type zinc finger-containing protein 1 OS=Homo sapiens OX=9606 GN=ZNFX1 PE=2 SV=2
OG0003142	sp|O95436|NPT2B_HUMAN Sodium-dependent phosphate transport protein 2B OS=Homo sapiens OX=9606 GN=SLC34A2 PE=1 SV=3
OG0003143	sp|Q8N1G1|REXO1_HUMAN RNA exonuclease 1 homolog OS=Homo sapiens OX=9606 GN=REXO1 PE=1 SV=3
OG0003144	sp|Q8C4U2|TM145_MOUSE Transmembrane protein 145 OS=Mus musculus OX=10090 GN=Tmem145 PE=1 SV=1
OG0003145	sp|Q12118|SGT2_YEAST Small glutamine-rich tetratricopeptide repeat-containing protein 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SGT2 PE=1 SV=1
OG0003146	sp|Q5E960|S39A3_BOVIN Zinc transporter ZIP3 OS=Bos taurus OX=9913 GN=SLC39A3 PE=2 SV=1
OG0003147	sp|P25778|ORYC_ORYSJ Oryzain gamma chain OS=Oryza sativa subsp. japonica OX=39947 GN=Os09g0442300 PE=2 SV=2
OG0003148	sp|Q9DE46|DPOLA_XENLA DNA polymerase alpha catalytic subunit OS=Xenopus laevis OX=8355 GN=pola1 PE=1 SV=1
OG0003149	sp|Q8ITC3|RS19_ARGIR 40S ribosomal protein S19 OS=Argopecten irradians OX=31199 GN=RPS19 PE=2 SV=1
OG0003150	sp|Q497B0|NIT2_RAT Omega-amidase NIT2 OS=Rattus norvegicus OX=10116 GN=Nit2 PE=1 SV=1
OG0003151	sp|Q05927|5NTD_BOVIN 5'-nucleotidase OS=Bos taurus OX=9913 GN=NT5E PE=1 SV=2
OG0003152	sp|P14314|GLU2B_HUMAN Glucosidase 2 subunit beta OS=Homo sapiens OX=9606 GN=PRKCSH PE=1 SV=2
OG0003153	sp|Q9HD40|SPCS_HUMAN O-phosphoseryl-tRNA(Sec) selenium transferase OS=Homo sapiens OX=9606 GN=SEPSECS PE=1 SV=2
OG0003154	sp|Q3SZB4|ACADM_BOVIN Medium-chain specific acyl-CoA dehydrogenase mitochondrial OS=Bos taurus OX=9913 GN=ACADM PE=2 SV=1
OG0003156	sp|P06802|ENPP1_MOUSE Ectonucleotide pyrophosphatase/phosphodiesterase family member 1 OS=Mus musculus OX=10090 GN=Enpp1 PE=1 SV=4
OG0003157	sp|Q7Z156|VA5_POLSR Venom allergen 5 OS=Polybia scutellaris rioplatensis OX=260979 PE=1 SV=2
OG0003158	sp|G5ECX0|LPLT2_CAEEL Latrophilin-like protein LAT-2 OS=Caenorhabditis elegans OX=6239 GN=lat-2 PE=2 SV=1
OG0003159	sp|Q2T9T0|PPR32_BOVIN Protein phosphatase 1 regulatory subunit 32 OS=Bos taurus OX=9913 GN=PPP1R32 PE=2 SV=1
OG0003160	sp|Q3U3R4|LMF1_MOUSE Lipase maturation factor 1 OS=Mus musculus OX=10090 GN=Lmf1 PE=1 SV=1
OG0003161	sp|Q01062|PDE2A_RAT cGMP-dependent 3'5'-cyclic phosphodiesterase OS=Rattus norvegicus OX=10116 GN=Pde2a PE=1 SV=2
OG0003163	sp|Q6NWW5|KIF24_MOUSE Kinesin-like protein KIF24 OS=Mus musculus OX=10090 GN=Kif24 PE=1 SV=2
OG0003164	sp|Q3T1J2|MBOA2_RAT Membrane-bound O-acyltransferase domain-containing protein 2 OS=Rattus norvegicus OX=10116 GN=Mboat2 PE=2 SV=2
OG0003165	sp|A6QPA3|BTBDJ_BOVIN BTB/POZ domain-containing protein 19 OS=Bos taurus OX=9913 GN=BTBD19 PE=2 SV=1
OG0003166	sp|Q5ZIW5|VAC14_CHICK Protein VAC14 homolog OS=Gallus gallus OX=9031 GN=VAC14 PE=2 SV=1
OG0003168	sp|Q91WD5|NDUS2_MOUSE NADH dehydrogenase
OG0003170	sp|Q08E38|PRP19_BOVIN Pre-mRNA-processing factor 19 OS=Bos taurus OX=9913 GN=PRPF19 PE=2 SV=1
OG0003171	sp|Q966Y3|JNK_SUBDO Stress-activated protein kinase JNK OS=Suberites domuncula OX=55567 GN=JNK PE=2 SV=1
OG0003173	sp|Q5RC11|RL11_PONAB 60S ribosomal protein L11 OS=Pongo abelii OX=9601 GN=RPL11 PE=2 SV=3
OG0003174	sp|Q56JU9|RS24_BOVIN 40S ribosomal protein S24 OS=Bos taurus OX=9913 GN=RPS24 PE=2 SV=2
OG0003176	sp|Q6NZQ2|DDX31_MOUSE Probable ATP-dependent RNA helicase DDX31 OS=Mus musculus OX=10090 GN=Ddx31 PE=2 SV=2
OG0003177	sp|Q03468|ERCC6_HUMAN DNA excision repair protein ERCC-6 OS=Homo sapiens OX=9606 GN=ERCC6 PE=1 SV=1
OG0003178	sp|Q8VHE0|SEC63_MOUSE Translocation protein SEC63 homolog OS=Mus musculus OX=10090 GN=Sec63 PE=1 SV=4
OG0003179	sp|Q9NU02|ANKE1_HUMAN Ankyrin repeat and EF-hand domain-containing protein 1 OS=Homo sapiens OX=9606 GN=ANKEF1 PE=2 SV=2
OG0003180	sp|Q8NI36|WDR36_HUMAN WD repeat-containing protein 36 OS=Homo sapiens OX=9606 GN=WDR36 PE=1 SV=1
OG0003181	sp|P02589|TNNC2_PELES Troponin C skeletal muscle OS=Pelophylax esculentus OX=8401 PE=1 SV=1
OG0003182	sp|Q6P4F7|RHGBA_HUMAN Rho GTPase-activating protein 11A OS=Homo sapiens OX=9606 GN=ARHGAP11A PE=1 SV=2
OG0003185	sp|Q9UDY8|MALT1_HUMAN Mucosa-associated lymphoid tissue lymphoma translocation protein 1 OS=Homo sapiens OX=9606 GN=MALT1 PE=1 SV=1
OG0003186	sp|Q0IHW6|KAL1L_XENTR KAT8 regulatory NSL complex subunit 1-like protein OS=Xenopus tropicalis OX=8364 GN=kansl1l PE=2 SV=1
OG0003187	sp|Q2YDR3|IMPA3_DANRE Inositol monophosphatase 3 OS=Danio rerio OX=7955 GN=impad1 PE=2 SV=1
OG0003188	sp|A9JRX0|MSL1_DANRE Male-specific lethal 1-like 1 OS=Danio rerio OX=7955 GN=msl1l1 PE=2 SV=1
OG0003189	sp|Q6ING2|PUS10_XENLA Putative tRNA pseudouridine synthase Pus10 OS=Xenopus laevis OX=8355 GN=pus10 PE=2 SV=1
OG0003190	sp|F6P3G4|PS11A_DANRE 26S proteasome non-ATPase regulatory subunit 11A OS=Danio rerio OX=7955 GN=psmd11a PE=2 SV=1
OG0003192	sp|P0CG82|UBIQP_TETPY Polyubiquitin OS=Tetrahymena pyriformis OX=5908 GN=TU20 PE=3 SV=1
OG0003193	sp|P25992|YEMA_DROME yemanuclein OS=Drosophila melanogaster OX=7227 GN=yem PE=1 SV=1
OG0003194	sp|Q9Z1M8|RED_MOUSE Protein Red OS=Mus musculus OX=10090 GN=Ik PE=1 SV=2
OG0003195	sp|O75398|DEAF1_HUMAN Deformed epidermal autoregulatory factor 1 homolog OS=Homo sapiens OX=9606 GN=DEAF1 PE=1 SV=1
OG0003196	sp|Q8WY54|PPM1E_HUMAN Protein phosphatase 1E OS=Homo sapiens OX=9606 GN=PPM1E PE=1 SV=3
OG0003197	sp|Q15477|SKIV2_HUMAN Helicase SKI2W OS=Homo sapiens OX=9606 GN=SKIV2L PE=1 SV=3
OG0003198	sp|Q9Z2G9|HTAI2_MOUSE Oxidoreductase HTATIP2 OS=Mus musculus OX=10090 GN=Htatip2 PE=1 SV=3
OG0003200	sp|Q07889|SOS1_HUMAN Son of sevenless homolog 1 OS=Homo sapiens OX=9606 GN=SOS1 PE=1 SV=1
OG0003201	sp|O00160|MYO1F_HUMAN Unconventional myosin-If OS=Homo sapiens OX=9606 GN=MYO1F PE=1 SV=3
OG0003202	sp|Q91YU8|SSF1_MOUSE Suppressor of SWI4 1 homolog OS=Mus musculus OX=10090 GN=Ppan PE=1 SV=2
OG0003203	sp|Q6ZWH5|NEK10_HUMAN Serine/threonine-protein kinase Nek10 OS=Homo sapiens OX=9606 GN=NEK10 PE=2 SV=3
OG0003204	sp|Q8NHP6|MSPD2_HUMAN Motile sperm domain-containing protein 2 OS=Homo sapiens OX=9606 GN=MOSPD2 PE=1 SV=1
OG0003205	sp|Q8NAP3|ZBT38_HUMAN Zinc finger and BTB domain-containing protein 38 OS=Homo sapiens OX=9606 GN=ZBTB38 PE=1 SV=2
OG0003206	sp|Q9Y4B6|DCAF1_HUMAN DDB1- and CUL4-associated factor 1 OS=Homo sapiens OX=9606 GN=DCAF1 PE=1 SV=3
OG0003209	sp|Q9Y5R2|MMP24_HUMAN Matrix metalloproteinase-24 OS=Homo sapiens OX=9606 GN=MMP24 PE=2 SV=1
OG0003210	sp|O43847|NRDC_HUMAN Nardilysin OS=Homo sapiens OX=9606 GN=NRDC PE=1 SV=3
OG0003212	sp|P53607|ILVA_BURM1 L-threonine dehydratase biosynthetic IlvA OS=Burkholderia multivorans (strain ATCC 17616 / 249) OX=395019 GN=ilvA PE=3 SV=1
OG0003213	sp|P35465|PAK1_RAT Serine/threonine-protein kinase PAK 1 OS=Rattus norvegicus OX=10116 GN=Pak1 PE=1 SV=3
OG0003214	sp|Q9UNW9|NOVA2_HUMAN RNA-binding protein Nova-2 OS=Homo sapiens OX=9606 GN=NOVA2 PE=1 SV=1
OG0003215	sp|Q91ZX7|LRP1_MOUSE Prolow-density lipoprotein receptor-related protein 1 OS=Mus musculus OX=10090 GN=Lrp1 PE=1 SV=1
OG0003216	sp|Q924Z6|XPO6_MOUSE Exportin-6 OS=Mus musculus OX=10090 GN=Xpo6 PE=1 SV=2
OG0003217	sp|Q96T21|SEBP2_HUMAN Selenocysteine insertion sequence-binding protein 2 OS=Homo sapiens OX=9606 GN=SECISBP2 PE=1 SV=2
OG0003218	sp|Q3ZBV2|DD19A_BOVIN ATP-dependent RNA helicase DDX19A OS=Bos taurus OX=9913 GN=DDX19A PE=2 SV=1
OG0003219	sp|Q3B7T1|EDRF1_HUMAN Erythroid differentiation-related factor 1 OS=Homo sapiens OX=9606 GN=EDRF1 PE=1 SV=1
OG0003220	sp|P23381|SYWC_HUMAN Tryptophan--tRNA ligase cytoplasmic OS=Homo sapiens OX=9606 GN=WARS PE=1 SV=2
OG0003222	sp|A7YWP4|HUTH_BOVIN Histidine ammonia-lyase OS=Bos taurus OX=9913 GN=HAL PE=2 SV=1
OG0003223	sp|Q02610|SODC_PEA Superoxide dismutase
OG0003224	sp|Q9Y5Q9|TF3C3_HUMAN General transcription factor 3C polypeptide 3 OS=Homo sapiens OX=9606 GN=GTF3C3 PE=1 SV=1
OG0003225	sp|Q5R513|MPPA_PONAB Mitochondrial-processing peptidase subunit alpha OS=Pongo abelii OX=9601 GN=PMPCA PE=2 SV=2
OG0003226	sp|Q9UPV0|CE164_HUMAN Centrosomal protein of 164 kDa OS=Homo sapiens OX=9606 GN=CEP164 PE=1 SV=3
OG0003227	sp|Q924S5|LONM_RAT Lon protease homolog mitochondrial OS=Rattus norvegicus OX=10116 GN=Lonp1 PE=2 SV=1
OG0003228	sp|Q6P1E8|EFCB6_MOUSE EF-hand calcium-binding domain-containing protein 6 OS=Mus musculus OX=10090 GN=Efcab6 PE=1 SV=2
OG0003230	sp|P04069|CBPB_ASTAS Carboxypeptidase B OS=Astacus astacus OX=6715 PE=1 SV=1
OG0003231	sp|Q04724|TLE1_HUMAN Transducin-like enhancer protein 1 OS=Homo sapiens OX=9606 GN=TLE1 PE=1 SV=2
OG0003232	sp|Q16854|DGUOK_HUMAN Deoxyguanosine kinase mitochondrial OS=Homo sapiens OX=9606 GN=DGUOK PE=1 SV=2
OG0003233	sp|Q2HJG5|VPS35_BOVIN Vacuolar protein 35 OS=Bos taurus OX=9913 GN=VPS35 PE=2 SV=1
OG0003234	sp|P25093|FAAA_RAT Fumarylacetoacetase OS=Rattus norvegicus OX=10116 GN=Fah PE=1 SV=1
OG0003235	sp|O14072|ATC4_SCHPO Manganese-transporting ATPase 4 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=cta4 PE=3 SV=3
OG0003236	sp|Q6DBY9|CHST1_DANRE Carbohydrate sulfotransferase 1 OS=Danio rerio OX=7955 GN=chst1 PE=2 SV=2
OG0003237	sp|Q920I9|WDR7_MOUSE WD repeat-containing protein 7 OS=Mus musculus OX=10090 GN=Wdr7 PE=1 SV=3
OG0003238	sp|Q05B60|NUD14_BOVIN Uridine diphosphate glucose pyrophosphatase OS=Bos taurus OX=9913 GN=NUDT14 PE=2 SV=1
OG0003239	sp|Q28Y69|ZC3HF_DROPS Zinc finger CCCH domain-containing protein 15 homolog OS=Drosophila pseudoobscura OX=46245 GN=GA21225 PE=3 SV=1
OG0003241	sp|Q9NU22|MDN1_HUMAN Midasin OS=Homo sapiens OX=9606 GN=MDN1 PE=1 SV=2
OG0003244	sp|Q12888|TP53B_HUMAN TP53-binding protein 1 OS=Homo sapiens OX=9606 GN=TP53BP1 PE=1 SV=2
OG0003246	sp|E1BB03|ZRAB3_BOVIN DNA annealing helicase and endonuclease ZRANB3 OS=Bos taurus OX=9913 GN=ZRANB3 PE=3 SV=3
OG0003247	sp|Q09470|KCNA1_HUMAN Potassium voltage-gated channel subfamily A member 1 OS=Homo sapiens OX=9606 GN=KCNA1 PE=1 SV=2
OG0003248	sp|Q8R1S4|MTSS1_MOUSE Metastasis suppressor protein 1 OS=Mus musculus OX=10090 GN=Mtss1 PE=1 SV=1
